Group,Set,Repeat,Cu_content,Temperature,Time,EDTA,FoM
1,1,1,0.65,80,60,0.03,195.1955739
1,1,2,0.65,80,60,0.03,193.0523112
1,1,3,0.65,80,60,0.03,210.0680016
1,2,1,0.65,80,90,0.03,316.1983733
1,2,2,0.65,80,90,0.03,300.6731387
1,2,3,0.65,80,90,0.03,290.6314879
1,3,1,0.65,80,120,0.03,143.9829839
1,3,2,0.65,80,120,0.03,152.7546872
1,3,3,0.65,80,120,0.03,121.0708145
1,4,1,0.65,90,60,0.03,223.7580044
1,4,2,0.65,90,60,0.03,239.6886615
1,4,3,0.65,90,60,0.03,246.1065882
1,5,1,0.65,90,120,0.03,141.1220597
1,5,2,0.65,90,120,0.03,151.0848663
1,5,3,0.65,90,120,0.03,143.886858
1,6,1,0.85,80,60,0.03,116.7309349
1,6,2,0.85,80,60,0.03,98.36208417
1,6,3,0.85,80,60,0.03,81.42272846
1,7,1,0.85,80,120,0.03,61.92833591
1,7,2,0.85,80,120,0.03,70.27593919
1,7,3,0.85,80,120,0.03,65.07899362
1,8,1,0.85,90,60,0.03,107.2608226
1,8,2,0.85,90,60,0.03,113.9380207
1,8,3,0.85,90,60,0.03,120.6196756
1,9,1,0.85,80,60,0.1,57.18271017
1,9,2,0.85,80,60,0.1,28.5006562
1,9,3,0.85,80,60,0.1,31.45926519
1,10,1,0.85,80,90,0.1,23.54840754
1,10,2,0.85,80,90,0.1,26.10723123
1,10,3,0.85,80,90,0.1,25.9141874
1,11,1,0.85,80,120,0.1,27.45051201
1,11,2,0.85,80,120,0.1,25.22945297
1,11,3,0.85,80,120,0.1,25.79621008
1,12,1,0.85,80,90,0.02,95.31510672
1,12,2,0.85,80,90,0.02,97.13519081
1,12,3,0.85,80,90,0.02,104.6204626
1,13,1,0.85,80,60,0.02,187.1274825
1,13,2,0.85,80,60,0.02,187.8510083
1,13,3,0.85,80,60,0.02,214.9938941
1,14,1,0.85,90,60,0.02,205.4039705
1,14,2,0.85,90,60,0.02,205.1662666
1,14,3,0.85,90,60,0.02,218.3495989
1,15,1,0.65,80,90,0.07,118.0704792
1,15,2,0.65,80,90,0.07,128.2000954
1,15,3,0.65,80,90,0.07,117.7327805
1,15,4,0.65,80,90,0.07,118.9237191
1,16,1,0.65,60,60,0.1,122.0366051
1,16,2,0.65,60,60,0.1,123.4563361
1,16,3,0.65,60,60,0.1,127.6875375
1,16,4,0.65,60,60,0.1,119.9640554
1,17,1,0.65,90,30,0.03,157.5266177
1,17,2,0.65,90,30,0.03,165.1531251
1,17,3,0.65,90,30,0.03,169.0117945
1,17,4,0.65,90,30,0.03,173.8532176
1,18,1,0.85,70,30,0.07,131.478213
1,18,2,0.85,70,30,0.07,138.0531168
1,18,3,0.85,70,30,0.07,141.683196
1,18,4,0.85,70,30,0.07,145.593144
1,19,1,0.85,60,90,0.03,143.084221
1,19,2,0.85,60,90,0.03,161.3139053
1,19,3,0.85,60,90,0.03,152.4647084
1,19,4,0.85,60,90,0.03,153.6419977
